Ask,BaseVolume,Bid,Created,High,Last,Low,MarketName,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,TimeStampCall,Volume
0.07233998,3479.07879253,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4320,12484,0.07200011,2017-09-20 05:20:23.230000,2017-09-20 05:20:40.831504,48103.0532693
0.07233978,3479.5924118,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4322,12482,0.0722111,2017-09-20 05:20:52.980000,2017-09-20 05:20:56.128411,48110.1389313
0.07233978,3479.55379874,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4322,12484,0.0722111,2017-09-20 05:20:58.290000,2017-09-20 05:20:59.215813,48109.6044379
0.07233999,3479.55379874,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4322,12484,0.0722111,2017-09-20 05:20:59.213000,2017-09-20 05:21:00.706692,48109.6044379
0.07233978,3479.55379874,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4322,12484,0.0722111,2017-09-20 05:21:02.840000,2017-09-20 05:21:03.686275,48109.6044379
0.07233978,3478.34509955,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233999,0.071,BTC-ETH,4321,12482,0.0722111,2017-09-20 05:21:32.997000,2017-09-20 05:21:38.271185,48092.8153334
0.07233978,3478.35006639,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4321,12484,0.0722111,2017-09-20 05:21:38.200000,2017-09-20 05:21:39.758696,48092.8839933
0.07233999,3478.35006639,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4321,12484,0.0722111,2017-09-20 05:21:38.963000,2017-09-20 05:21:41.178394,48092.8839933
0.07233978,3478.35006639,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4321,12484,0.0722111,2017-09-20 05:21:42.043000,2017-09-20 05:21:44.044965,48092.8839933
0.07233978,3478.35216424,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4322,12484,0.0722111,2017-09-20 05:21:46.417000,2017-09-20 05:21:47.103674,48092.9129933
0.07233977,3478.35216424,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233978,0.071,BTC-ETH,4322,12484,0.0722111,2017-09-20 05:21:57.620000,2017-09-20 05:22:04.699244,48092.9129933
0.07233977,3478.61263083,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4321,12484,0.07202786,2017-09-20 05:22:08.653000,2017-09-20 05:22:09.163672,48096.5136723
0.07233977,3478.61868057,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4321,12483,0.07220001,2017-09-20 05:22:10.450000,2017-09-20 05:22:12.268807,48096.5953845
0.07233999,3463.97617758,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07233999,0.071,BTC-ETH,4322,12480,0.07229996,2017-09-20 05:22:24.403000,2017-09-20 05:22:25.578665,47894.0463147
0.07233999,3463.98198134,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4322,12480,0.07229996,2017-09-20 05:22:25.667000,2017-09-20 05:22:27.047662,47894.1265639
0.07233977,3463.98198134,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4322,12480,0.07229996,2017-09-20 05:22:40.137000,2017-09-20 05:22:46.987858,47894.1265639
0.07233977,3463.98198134,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4322,12480,0.07229996,2017-09-20 05:22:39.747000,2017-09-20 05:22:48.500332,47894.1265639
0.07233977,3463.98198134,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4322,12480,0.07229996,2017-09-20 05:22:39.903000,2017-09-20 05:22:52.899400,47894.1265639
0.07233977,3462.87021646,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232193,0.071,BTC-ETH,4238,12483,0.07196697,2017-09-20 05:22:54.950000,2017-09-20 05:22:57.713636,47878.7014925
0.07233977,3462.87021646,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232193,0.071,BTC-ETH,4238,12483,0.07196697,2017-09-20 05:22:55.247000,2017-09-20 05:23:00.583730,47878.7014925
0.07233977,3462.82734503,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232193,0.071,BTC-ETH,4264,12483,0.07229,2017-09-20 05:23:02.887000,2017-09-20 05:23:05.053073,47878.1084255
0.07233977,3462.85916667,0.07232193,2015-08-14 09:02:24.817000,0.07306702,0.07232193,0.071,BTC-ETH,4304,12482,0.07229,2017-09-20 05:23:12.933000,2017-09-20 05:23:14.264909,47878.5484255
0.07233977,3462.85916667,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07232193,0.071,BTC-ETH,4304,12482,0.07229,2017-09-20 05:23:24.573000,2017-09-20 05:23:29.044616,47878.5484255
0.07233977,3462.80098289,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4324,12482,0.07229,2017-09-20 05:23:32.327000,2017-09-20 05:23:33.820480,47877.7401463
0.07233977,3462.97125998,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4325,12482,0.07229,2017-09-20 05:23:34.340000,2017-09-20 05:23:35.285762,47880.0939981
0.07233977,3463.0078891,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4326,12482,0.07229,2017-09-20 05:23:36.810000,2017-09-20 05:23:38.224325,47880.6003465
0.07233977,3462.27668276,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4327,12481,0.07229996,2017-09-20 05:24:08.717000,2017-09-20 05:24:11.348837,47870.3933283
0.07233977,3462.2777989,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4326,12479,0.07229996,2017-09-20 05:24:13.763000,2017-09-20 05:24:14.295655,47870.4087614
0.07233977,3462.2777989,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4326,12479,0.07229996,2017-09-20 05:24:13.560000,2017-09-20 05:24:20.550905,47870.4087614
0.07233977,3461.96637581,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4326,12481,0.072,2017-09-20 05:24:31.293000,2017-09-20 05:24:35.039012,47866.0707263
0.07233977,3462.03344082,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4329,12483,0.072,2017-09-20 05:24:41.827000,2017-09-20 05:24:51.957705,47866.9954614
0.07233977,3462.03344082,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4329,12483,0.072,2017-09-20 05:24:42.077000,2017-09-20 05:24:57.999001,47866.9954614
0.07233977,3462.51684559,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4321,12482,0.07216,2017-09-20 05:24:58.123000,2017-09-20 05:24:59.465865,47873.6789691
0.072322,3462.51684559,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4321,12482,0.07216,2017-09-20 05:25:03.810000,2017-09-20 05:25:06.140314,47873.6789691
0.07233977,3462.5385238,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4322,12485,0.07216,2017-09-20 05:25:10.750000,2017-09-20 05:25:12.356209,47873.9787149
0.07233977,3462.5385238,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4322,12485,0.07216,2017-09-20 05:25:10.530000,2017-09-20 05:25:15.464285,47873.9787149
0.07233977,3461.95535228,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4322,12482,0.07229996,2017-09-20 05:25:29.373000,2017-09-20 05:25:33.315727,47865.9097833
0.07233977,3461.96723669,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.072322,0.071,BTC-ETH,4289,12482,0.07221109,2017-09-20 05:25:38.437000,2017-09-20 05:25:39.468123,47866.0733359
0.07233977,3464.50541872,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4278,12482,0.07221109,2017-09-20 05:25:41.607000,2017-09-20 05:25:42.357695,47901.1696994
0.07233977,3464.24929901,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4243,12483,0.07216,2017-09-20 05:25:50.000000,2017-09-20 05:25:50.717484,47897.6201632
0.07233977,3464.24929901,0.072322,2015-08-14 09:02:24.817000,0.07306702,0.07233977,0.071,BTC-ETH,4243,12483,0.07216,2017-09-20 05:25:49.653000,2017-09-20 05:25:52.137723,47897.6201632
0.07233977,3464.90524116,0.07232,2015-08-14 09:02:24.817000,0.07306702,0.07232,0.071,BTC-ETH,4226,12482,0.07221109,2017-09-20 05:25:53.250000,2017-09-20 05:25:53.810011,47906.6868584
